"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
"2019-01-01",155079,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-02",154957,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-03",154935,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-04",154675,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-05",154974,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-07",154863,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-09",155110,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-11",156282,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-17",157002,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
"2019-01-18",157984,"Wirtschaft","arbeitsuchende_jobroom","Arbeitsuchende gemÃ¤ss Jobroom.ch","CH","Anzahl","SECO job-room.ch und KOF Konjunkturforschungsstelle","tÃ¤glich","ja","https://github.com/KOF-ch/economic-monitoring"
